Timestamp,Open,High,Low,Close,Volume
2026-06-01 00:00:00,73674.39,73685.5,73654.06,73684.43,3.76233
2026-06-01 00:01:00,73684.42,73684.43,73667.45,73667.46,10.59377
2026-06-01 00:02:00,73667.46,73758.0,73667.44,73758.0,19.85803
2026-06-01 00:03:00,73758.0,73824.0,73757.99,73823.99,10.59691
2026-06-01 00:04:00,73824.0,73872.0,73800.0,73861.33,18.36501
2026-06-01 00:05:00,73861.33,73879.67,73806.0,73831.53,23.4713
2026-06-01 00:06:00,73831.52,73872.5,73806.0,73806.01,4.04182
2026-06-01 00:07:00,73806.01,73806.01,73748.0,73750.94,4.74638
2026-06-01 00:08:00,73750.94,73762.0,73732.48,73732.49,2.38447
2026-06-01 00:09:00,73732.48,73764.37,73732.48,73753.75,14.27152
2026-06-01 00:10:00,73753.74,73788.0,73732.97,73781.97,7.48255
2026-06-01 00:11:00,73781.98,73781.98,73765.81,73774.02,1.48925
2026-06-01 00:12:00,73774.03,73777.62,73718.57,73718.58,6.5659
2026-06-01 00:13:00,73718.58,73733.6,73718.57,73733.6,2.81439
2026-06-01 00:14:00,73733.6,73806.16,73733.59,73806.15,6.14788
2026-06-01 00:15:00,73806.15,73847.23,73806.14,73816.0,5.18185
2026-06-01 00:16:00,73816.01,73845.28,73802.98,73828.0,7.08168
2026-06-01 00:17:00,73828.0,73828.0,73763.27,73763.27,3.51465
2026-06-01 00:18:00,73763.27,73763.27,73736.0,73736.0,1.03698
2026-06-01 00:19:00,73736.01,73740.97,73724.57,73730.26,3.86501
2026-06-01 00:20:00,73730.27,73745.66,73720.94,73745.66,5.1044
2026-06-01 00:21:00,73745.65,73781.95,73745.65,73781.94,3.05241
2026-06-01 00:22:00,73781.95,73818.0,73781.94,73785.58,3.86562
2026-06-01 00:23:00,73785.25,73812.0,73763.18,73812.0,3.46445
2026-06-01 00:24:00,73812.0,73826.0,73802.25,73802.25,2.42757
2026-06-01 00:25:00,73802.25,73834.0,73802.25,73834.0,3.82118
2026-06-01 00:26:00,73833.99,73834.0,73818.0,73818.01,2.08385
2026-06-01 00:27:00,73818.01,73868.57,73818.0,73868.57,2.59925
2026-06-01 00:28:00,73868.57,73928.01,73868.56,73925.33,7.03807
2026-06-01 00:29:00,73925.34,73971.31,73925.34,73960.0,11.58717
2026-06-01 00:30:00,73960.0,74092.0,73959.99,73978.0,34.95683
2026-06-01 00:31:00,73978.01,73978.01,73859.0,73859.58,13.66922
2026-06-01 00:32:00,73859.59,73877.78,73848.0,73868.79,7.22896
2026-06-01 00:33:00,73868.79,73890.0,73836.0,73836.0,3.29284
2026-06-01 00:34:00,73836.01,73917.43,73836.0,73917.43,4.25642
2026-06-01 00:35:00,73917.43,73930.0,73892.0,73892.01,4.79642
2026-06-01 00:36:00,73892.01,73900.0,73884.61,73889.67,3.3227
2026-06-01 00:37:00,73889.66,73940.0,73889.66,73929.41,6.20612
2026-06-01 00:38:00,73929.42,73929.42,73894.0,73898.74,2.55643
2026-06-01 00:39:00,73898.75,73898.75,73892.52,73898.75,1.8368
2026-06-01 00:40:00,73898.75,73925.34,73868.56,73925.33,3.53253
2026-06-01 00:41:00,73925.33,73932.82,73914.08,73923.17,1.32976
2026-06-01 00:42:00,73923.17,73946.0,73923.17,73946.0,4.62502
2026-06-01 00:43:00,73946.0,73966.84,73945.99,73961.02,2.39063
2026-06-01 00:44:00,73961.02,73964.48,73946.0,73946.01,2.46539
2026-06-01 00:45:00,73946.0,73982.0,73942.0,73981.99,5.97177
2026-06-01 00:46:00,73982.0,74014.0,73976.0,74000.93,10.69297
2026-06-01 00:47:00,74000.93,74016.16,73976.0,73976.0,9.60315
2026-06-01 00:48:00,73976.0,73997.33,73971.3,73973.56,6.36634
2026-06-01 00:49:00,73973.55,73989.96,73962.72,73962.72,3.95288
2026-06-01 00:50:00,73962.73,73962.73,73900.36,73921.99,5.60812
2026-06-01 00:51:00,73922.0,73979.23,73922.0,73970.4,4.68731
2026-06-01 00:52:00,73970.41,73992.0,73970.4,73987.36,2.19609
2026-06-01 00:53:00,73987.36,74000.0,73980.01,73980.01,4.40577
2026-06-01 00:54:00,73980.0,73980.01,73924.0,73924.01,3.46858
2026-06-01 00:55:00,73924.01,73929.46,73896.0,73910.0,4.36451
2026-06-01 00:56:00,73910.01,73916.74,73910.0,73912.42,0.50288
2026-06-01 00:57:00,73912.41,73914.1,73906.83,73908.01,0.9418
